resource_id	query_id	similarity_score
0	0	0
1	0	0
2	0	-1
3	0	-1
4	0	0
5	0	-1
6	0	-1
7	0	0
8	0	0
9	0	0
10	0	-1
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	32
21	0	234
22	0	0
23	0	0
24	0	0
25	0	164
26	0	0
27	0	0
28	0	0
29	0	0
30	0	55
31	0	0
32	0	0
33	0	-1
34	0	0
35	0	0
36	0	-1
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	289
43	0	180
44	0	0
45	0	109
46	0	109
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	-1
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	-1
60	0	0
61	0	0
62	0	0
63	0	0
64	0	-1
65	0	0
66	0	0
67	0	-1
68	0	218
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	-1
80	0	-1
81	0	0
82	0	0
83	0	-1
84	0	0
85	0	0
86	0	0
87	0	0
88	0	-1
89	0	0
90	0	0
91	0	0
92	0	-1
93	0	-1
94	0	0
95	0	16
96	0	0
97	0	0
98	0	0
99	0	55
100	0	0
101	0	0
102	0	0
103	0	-1
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	-1
110	0	0
111	0	0
112	0	0
113	0	16
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
121	0	0
122	0	-1
123	0	164
124	0	0
125	0	0
126	0	-1
127	0	0
128	0	-1
129	0	0
130	0	0
131	0	0
132	0	0
133	0	0
134	0	-1
135	0	0
136	0	0
137	0	0
138	0	-1
139	0	-1
140	0	273
141	0	47
142	0	0
143	0	-1
144	0	0
145	0	0
146	0	0
147	0	0
148	0	125
0	1	-1
1	1	0
2	1	-1
3	1	0
4	1	0
5	1	0
6	1	-1
7	1	0
8	1	16
9	1	-1
10	1	-1
11	1	0
12	1	0
13	1	-1
14	1	0
15	1	-1
16	1	47
17	1	0
18	1	-1
19	1	126
20	1	243
21	1	464
22	1	0
23	1	0
24	1	211
25	1	818
26	1	468
27	1	158
28	1	16
29	1	0
30	1	598
31	1	-1
32	1	55
33	1	47
34	1	282
35	1	0
36	1	0
37	1	0
38	1	0
39	1	0
40	1	-1
41	1	0
42	1	111
43	1	664
44	1	47
45	1	-1
46	1	-1
47	1	0
48	1	-1
49	1	-1
50	1	0
51	1	0
52	1	-1
53	1	0
54	1	0
55	1	0
56	1	0
57	1	0
58	1	-1
59	1	-1
60	1	-1
61	1	-1
62	1	-1
63	1	-1
64	1	-1
65	1	0
66	1	0
67	1	-1
68	1	755
69	1	-1
70	1	0
71	1	-1
72	1	-1
73	1	-1
74	1	172
75	1	0
76	1	197
77	1	197
78	1	-1
79	1	-1
80	1	-1
81	1	204
82	1	0
83	1	32
84	1	0
85	1	126
86	1	-1
87	1	0
88	1	0
89	1	0
90	1	-1
91	1	-1
92	1	-1
93	1	0
94	1	32
95	1	197
96	1	16
97	1	142
98	1	0
99	1	111
100	1	142
101	1	0
102	1	259
103	1	0
104	1	0
105	1	-1
106	1	0
107	1	0
108	1	0
109	1	-1
110	1	468
111	1	-1
112	1	0
113	1	491
114	1	453
115	1	507
116	1	141
117	1	507
118	1	282
119	1	0
120	1	359
121	1	47
122	1	-1
123	1	16
124	1	0
125	1	-1
126	1	-1
127	1	0
128	1	0
129	1	0
130	1	0
131	1	-1
132	1	16
133	1	0
134	1	-1
135	1	102
136	1	63
137	1	32
138	1	-1
139	1	165
140	1	-1
141	1	249
142	1	149
143	1	-1
144	1	0
145	1	0
146	1	32
147	1	111
148	1	680
0	2	-1
1	2	0
2	2	0
3	2	0
4	2	0
5	2	0
6	2	0
7	2	0
8	2	0
9	2	-1
10	2	-1
11	2	0
12	2	0
13	2	-1
14	2	0
15	2	0
16	2	-1
17	2	0
18	2	-1
19	2	70
20	2	297
21	2	441
22	2	-1
23	2	-1
24	2	86
25	2	0
26	2	0
27	2	0
28	2	0
29	2	0
30	2	125
31	2	0
32	2	0
33	2	-1
34	2	0
35	2	0
36	2	0
37	2	0
38	2	0
39	2	0
40	2	-1
41	2	0
42	2	453
43	2	334
44	2	70
45	2	-1
46	2	234
47	2	32
48	2	-1
49	2	-1
50	2	0
51	2	0
52	2	-1
53	2	0
54	2	0
55	2	0
56	2	16
57	2	0
58	2	-1
59	2	0
60	2	0
61	2	0
62	2	0
63	2	-1
64	2	-1
65	2	0
66	2	0
67	2	-1
68	2	364
69	2	-1
70	2	0
71	2	0
72	2	55
73	2	-1
74	2	0
75	2	0
76	2	16
77	2	0
78	2	-1
79	2	0
80	2	0
81	2	0
82	2	-1
83	2	-1
84	2	0
85	2	0
86	2	-1
87	2	0
88	2	-1
89	2	0
90	2	0
91	2	-1
92	2	-1
93	2	-1
94	2	16
95	2	16
96	2	0
97	2	-1
98	2	0
99	2	0
100	2	0
101	2	0
102	2	16
103	2	0
104	2	382
105	2	-1
106	2	-1
107	2	0
108	2	-1
109	2	-1
110	2	0
111	2	0
112	2	-1
113	2	0
114	2	0
115	2	0
116	2	0
117	2	0
118	2	0
119	2	-1
120	2	0
121	2	0
122	2	-1
123	2	-1
124	2	0
125	2	-1
126	2	-1
127	2	0
128	2	0
129	2	0
130	2	0
131	2	0
132	2	0
133	2	0
134	2	0
135	2	0
136	2	0
137	2	0
138	2	-1
139	2	16
140	2	302
141	2	297
142	2	0
143	2	0
144	2	0
145	2	16
146	2	164
147	2	227
148	2	495
0	3	-1
1	3	0
2	3	-1
3	3	0
4	3	0
5	3	-1
6	3	-1
7	3	0
8	3	0
9	3	-1
10	3	-1
11	3	0
12	3	0
13	3	-1
14	3	0
15	3	-1
16	3	-1
17	3	0
18	3	-1
19	3	0
20	3	0
21	3	264
22	3	-1
23	3	-1
24	3	0
25	3	-1
26	3	16
27	3	0
28	3	0
29	3	0
30	3	0
31	3	-1
32	3	-1
33	3	-1
34	3	-1
35	3	0
36	3	0
37	3	0
38	3	-1
39	3	0
40	3	-1
41	3	0
42	3	0
43	3	155
44	3	0
45	3	-1
46	3	-1
47	3	0
48	3	-1
49	3	-1
50	3	0
51	3	-1
52	3	-1
53	3	0
54	3	-1
55	3	0
56	3	-1
57	3	0
58	3	-1
59	3	-1
60	3	-1
61	3	-1
62	3	-1
63	3	-1
64	3	-1
65	3	0
66	3	0
67	3	0
68	3	0
69	3	-1
70	3	-1
71	3	-1
72	3	-1
73	3	-1
74	3	-1
75	3	-1
76	3	0
77	3	-1
78	3	-1
79	3	-1
80	3	-1
81	3	0
82	3	-1
83	3	-1
84	3	-1
85	3	-1
86	3	-1
87	3	-1
88	3	-1
89	3	0
90	3	-1
91	3	-1
92	3	-1
93	3	-1
94	3	0
