resource_id	query_id	similarity_score
0	0	-1
1	0	-1
2	0	0
3	0	-1
4	0	-1
5	0	-1
6	0	-1
7	0	-1
8	0	-1
9	0	-1
10	0	-1
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	-1
17	0	-1
18	0	0
19	0	-1
20	0	-1
21	0	-1
22	0	-1
23	0	-1
24	0	-1
25	0	-1
26	0	0
27	0	7
28	0	0
29	0	0
30	0	-1
31	0	-1
32	0	-1
33	0	0
34	0	-1
35	0	-1
36	0	-1
37	0	-1
38	0	-1
39	0	0
40	0	11
41	0	1
42	0	-1
43	0	6
44	0	-1
45	0	0
46	0	0
47	0	0
48	0	-1
49	0	4
50	0	-1
51	0	-1
52	0	1
53	0	-1
54	0	-1
55	0	-1
56	0	-1
57	0	-1
58	0	-1
59	0	-1
60	0	-1
61	0	-1
62	0	-1
63	0	2
64	0	80
65	0	0
66	0	-1
67	0	0
68	0	0
69	0	-1
70	0	0
71	0	34
72	0	1
73	0	-1
74	0	0
75	0	5
76	0	15
77	0	-1
78	0	-1
79	0	-1
80	0	-1
81	0	-1
82	0	0
83	0	12
84	0	-1
85	0	0
86	0	-1
87	0	-1
88	0	0
89	0	0
90	0	0
91	0	0
92	0	-1
93	0	0
94	0	-1
95	0	-1
96	0	-1
97	0	-1
98	0	1
99	0	-1
100	0	-1
101	0	-1
102	0	0
103	0	1
104	0	-1
105	0	2
106	0	-1
107	0	-1
108	0	-1
109	0	-1
110	0	-1
111	0	0
112	0	-1
113	0	0
114	0	-1
115	0	-1
116	0	-1
117	0	-1
118	0	-1
119	0	0
120	0	-1
121	0	-1
122	0	-1
123	0	-1
124	0	1
125	0	-1
126	0	-1
127	0	0
128	0	0
129	0	-1
130	0	-1
131	0	-1
132	0	0
133	0	-1
134	0	-1
135	0	-1
136	0	-1
137	0	-1
138	0	-1
139	0	0
140	0	0
141	0	-1
142	0	2
143	0	-1
144	0	-1
145	0	0
146	0	-1
147	0	-1
148	0	-1
149	0	2
150	0	0
151	0	-1
152	0	-1
153	0	-1
154	0	-1
155	0	0
156	0	0
157	0	-1
158	0	0
159	0	-1
160	0	-1
161	0	-1
162	0	0
163	0	-1
164	0	-1
165	0	-1
166	0	0
167	0	0
168	0	-1
169	0	2
170	0	0
171	0	0
172	0	-1
173	0	-1
174	0	-1
175	0	-1
176	0	0
177	0	-1
178	0	-1
179	0	9
180	0	-1
181	0	3
182	0	3
183	0	8
184	0	-1
185	0	-1
186	0	-1
187	0	-1
188	0	-1
189	0	-1
190	0	0
191	0	-1
192	0	-1
193	0	-1
194	0	13
195	0	-1
196	0	-1
0	1	1
1	1	0
2	1	0
3	1	-1
4	1	-1
5	1	-1
6	1	-1
7	1	-1
8	1	0
9	1	0
10	1	-1
11	1	-1
12	1	-1
13	1	-1
14	1	0
15	1	0
16	1	-1
17	1	-1
18	1	-1
19	1	-1
20	1	-1
21	1	-1
22	1	-1
23	1	-1
24	1	-1
25	1	-1
26	1	0
27	1	0
28	1	-1
29	1	0
30	1	-1
31	1	-1
32	1	0
33	1	0
34	1	-1
35	1	-1
36	1	-1
37	1	0
38	1	0
39	1	-1
40	1	15
41	1	-1
42	1	0
43	1	2
44	1	0
45	1	0
46	1	0
47	1	-1
48	1	-1
49	1	18
50	1	0
51	1	-1
52	1	3
53	1	-1
54	1	-1
55	1	0
56	1	-1
57	1	-1
58	1	-1
59	1	-1
60	1	0
61	1	0
62	1	-1
63	1	0
64	1	0
65	1	1
66	1	-1
67	1	0
68	1	4
69	1	-1
70	1	-1
71	1	72
72	1	46
73	1	-1
74	1	0
75	1	1
76	1	0
77	1	-1
78	1	0
79	1	-1
80	1	-1
81	1	-1
82	1	5
83	1	0
84	1	-1
85	1	0
86	1	-1
87	1	-1
88	1	0
89	1	0
90	1	0
91	1	5
92	1	0
93	1	-1
94	1	0
95	1	0
96	1	-1
97	1	0
98	1	0
99	1	0
100	1	0
101	1	0
102	1	0
103	1	0
104	1	-1
105	1	-1
106	1	-1
107	1	-1
108	1	-1
109	1	-1
110	1	0
111	1	0
112	1	-1
113	1	0
114	1	-1
115	1	-1
116	1	-1
117	1	-1
118	1	-1
119	1	0
120	1	-1
121	1	-1
122	1	-1
123	1	-1
124	1	0
125	1	-1
126	1	-1
127	1	30
128	1	-1
129	1	0
130	1	0
131	1	-1
132	1	-1
133	1	-1
134	1	0
135	1	-1
136	1	-1
137	1	0
138	1	-1
139	1	0
140	1	0
141	1	0
142	1	0
143	1	-1
144	1	-1
145	1	0
146	1	-1
147	1	-1
148	1	0
149	1	0
150	1	1
151	1	0
152	1	-1
153	1	0
154	1	-1
155	1	-1
156	1	0
157	1	-1
158	1	8
159	1	-1
160	1	-1
161	1	-1
162	1	0
163	1	-1
164	1	-1
165	1	0
166	1	0
167	1	1
168	1	-1
169	1	0
170	1	0
171	1	0
172	1	-1
173	1	-1
174	1	0
175	1	0
176	1	0
177	1	-1
178	1	-1
179	1	0
180	1	-1
181	1	12
182	1	0
