resource_id	query_id	similarity_score
0	0	-1
1	0	-1
2	0	0
3	0	-1
4	0	-1
5	0	-1
6	0	-1
7	0	-1
8	0	-1
9	0	-1
10	0	-1
11	0	-1
12	0	0
13	0	-1
14	0	-1
15	0	-1
16	0	0
17	0	-1
18	0	-1
19	0	-1
20	0	-1
21	0	-1
22	0	0
23	0	-1
24	0	9
25	0	0
26	0	-1
27	0	-1
28	0	0
29	0	-1
30	0	0
31	0	-1
32	0	0
33	0	-1
34	0	100
35	0	-1
36	0	4
37	0	-1
38	0	-1
39	0	-1
40	0	0
41	0	-1
42	0	-1
43	0	-1
44	0	-1
45	0	-1
46	0	0
47	0	-1
48	0	-1
49	0	-1
50	0	-1
51	0	-1
52	0	-1
53	0	0
54	0	-1
55	0	0
56	0	-1
57	0	0
58	0	-1
59	0	-1
60	0	-1
61	0	-1
62	0	0
63	0	0
64	0	-1
65	0	-1
66	0	-1
67	0	-1
68	0	0
69	0	0
70	0	-1
71	0	0
72	0	-1
73	0	0
74	0	-1
75	0	0
76	0	-1
77	0	0
78	0	0
79	0	0
80	0	0
81	0	-1
82	0	-1
83	0	0
84	0	-1
85	0	-1
86	0	-1
87	0	0
88	0	-1
89	0	-1
90	0	-1
91	0	-1
92	0	-1
93	0	0
94	0	-1
95	0	0
96	0	0
97	0	-1
98	0	-1
99	0	0
0	1	-1
1	1	1
2	1	-1
3	1	-1
4	1	2
5	1	0
6	1	-1
7	1	-1
8	1	-1
9	1	-1
10	1	0
11	1	-1
12	1	8
13	1	53
14	1	1
15	1	-1
16	1	0
17	1	-1
18	1	3
19	1	-1
20	1	-1
21	1	-1
22	1	3
23	1	-1
24	1	1
25	1	0
26	1	-1
27	1	-1
28	1	-1
29	1	-1
30	1	-1
31	1	0
32	1	1
33	1	-1
34	1	-1
35	1	2
36	1	-1
37	1	-1
38	1	-1
39	1	-1
40	1	-1
41	1	-1
42	1	-1
43	1	-1
44	1	-1
45	1	3
46	1	4
47	1	-1
48	1	-1
49	1	0
50	1	1
51	1	-1
52	1	0
53	1	0
54	1	-1
55	1	-1
56	1	0
57	1	-1
58	1	-1
59	1	-1
60	1	2
61	1	-1
62	1	-1
63	1	1
64	1	-1
65	1	2
66	1	0
67	1	3
68	1	-1
69	1	0
70	1	-1
71	1	-1
72	1	-1
73	1	-1
74	1	-1
75	1	-1
76	1	0
77	1	-1
78	1	-1
79	1	0
80	1	-1
81	1	-1
82	1	0
83	1	-1
84	1	-1
85	1	0
86	1	2
87	1	-1
88	1	-1
89	1	-1
90	1	-1
91	1	-1
92	1	1
93	1	-1
94	1	-1
95	1	-1
96	1	-1
97	1	-1
98	1	-1
99	1	5
0	2	-1
1	2	0
2	2	0
3	2	-1
4	2	2
5	2	0
6	2	2
7	2	0
8	2	0
9	2	-1
10	2	-1
11	2	2
12	2	0
13	2	-1
14	2	-1
15	2	0
16	2	0
17	2	0
18	2	-1
19	2	0
20	2	-1
21	2	7
22	2	0
23	2	-1
24	2	-1
25	2	-1
26	2	-1
27	2	3
28	2	0
29	2	-1
30	2	0
31	2	2
32	2	0
33	2	-1
34	2	18
35	2	-1
36	2	4
37	2	1
38	2	-1
39	2	-1
40	2	-1
41	2	0
42	2	2
43	2	-1
44	2	0
45	2	0
46	2	-1
47	2	-1
48	2	3
49	2	8
50	2	-1
51	2	-1
52	2	-1
53	2	0
54	2	1
55	2	-1
56	2	-1
57	2	0
58	2	-1
59	2	3
60	2	1
61	2	-1
62	2	-1
63	2	0
64	2	-1
65	2	0
66	2	4
67	2	-1
68	2	0
69	2	2
70	2	-1
71	2	2
72	2	0
73	2	2
74	2	1
75	2	0
76	2	4
77	2	0
78	2	2
79	2	5
80	2	-1
81	2	0
82	2	3
83	2	-1
84	2	1
85	2	1
86	2	-1
87	2	12
88	2	0
89	2	-1
90	2	3
91	2	-1
92	2	-1
93	2	-1
94	2	-1
95	2	0
96	2	12
97	2	-1
98	2	-1
99	2	-1
0	3	-1
1	3	0
2	3	-1
3	3	-1
4	3	-1
5	3	0
6	3	-1
7	3	-1
8	3	0
9	3	-1
10	3	0
11	3	0
12	3	-1
13	3	-1
14	3	-1
15	3	-1
16	3	0
17	3	-1
18	3	-1
19	3	-1
20	3	-1
21	3	-1
22	3	-1
23	3	-1
24	3	0
25	3	-1
26	3	-1
27	3	0
28	3	-1
29	3	-1
30	3	-1
31	3	0
32	3	-1
33	3	-1
34	3	0
35	3	0
36	3	0
37	3	2
38	3	-1
39	3	-1
40	3	-1
41	3	-1
42	3	-1
43	3	-1
44	3	0
45	3	-1
46	3	0
47	3	-1
48	3	0
49	3	29
50	3	-1
51	3	-1
52	3	0
53	3	-1
54	3	-1
55	3	0
56	3	-1
57	3	-1
58	3	-1
59	3	-1
60	3	-1
61	3	-1
62	3	-1
63	3	-1
64	3	-1
65	3	-1
66	3	-1
67	3	-1
68	3	-1
69	3	0
70	3	0
71	3	-1
72	3	0
73	3	-1
74	3	16
75	3	-1
76	3	-1
77	3	-1
